artist_name,concert_name,city,venue,show_time,price_text,sale_status,source_type,source_url,collected_at
郁乐队（DIE FROM SORROW）,独家 郁乐队2026-2027“惊恐症”巡演-北京站,北京,MAO Livehouse北京（东郎店）,2026-09-12 20:00,180 / 240,待定,爬虫采集,https://www.showstart.com/event/307819,2026-08-31
,「天鹅湖·胡桃夹子·睡美人」柴可夫斯基三大经典芭蕾舞曲交响音乐会,北京,五棵松·爱乐汇艺术空间·都市音乐厅,2026-09-13 19:30,100 / 108 / 168 / 180 / 228 / 280 / 288 / 380 / 480,待定,爬虫采集,https://www.showstart.com/event/305983,2026-08-31
崔伯龙 / 曲晓楠 / 范允泽 / 毛冠中 / 张跃升 / 林感,独家 百大校园歌手原创音乐会,北京,福浪LIVEHOUSE-福,2026-09-13 19:30,78 / 98 / 128,待定,爬虫采集,https://www.showstart.com/event/308664,2026-08-31
,北京丨9.13 Mark de Clive-Lowe 来了！聆听鬼才二人组的未来蓝图,北京,Blue Note Beijing,2026-09-13 19:30,220,待定,爬虫采集,https://www.showstart.com/event/307827,2026-08-31
王筝,王筝「回到那一天」2026巡演 北京站,北京,MAO Livehouse北京（东郎店）,2026-09-13 20:00,188 / 268 / 368,待定,爬虫采集,https://www.showstart.com/event/304696,2026-08-31
Casa Flamenco / Jesús Olmedo,独家 西班牙优秀弗拉门戈舞蹈家 Jesús Olmedo & Casa Flamenco 双城巡演 | DDL呈现,北京,黄昏黎明DDC,2026-09-13 20:30,100 / 120 / 420,待定,爬虫采集,https://www.showstart.com/event/308081,2026-08-31
Toninho Horta,北京丨9.16 格莱美奖得主78岁巴西国宝级吉他教父 Toninho Horta 2026巡演,北京,Blue Note Beijing,2026-09-16 20:00,280,待定,爬虫采集,https://www.showstart.com/event/308216,2026-08-31
贾梦颖女中音独唱,「寻梦」德国汉堡音乐与戏剧学院博士-贾梦颖女中音独唱音乐会,北京,五棵松·爱乐汇艺术空间·都市音乐厅,2026-09-18 19:30,80 / 100 / 126 / 196,待定,爬虫采集,https://www.showstart.com/event/308596,2026-08-31
辛弃疾词意弦歌,稼轩千秋•醉里归中原——辛弃疾词意弦歌音乐会,北京,北京国图艺术中心,2026-09-19 19:30,100 / 135 / 180 / 210 / 280 / 285 / 300 / 380 / 435 / 450 / 580 / 600,待定,爬虫采集,https://www.showstart.com/event/306919,2026-08-31
AMORPHIS,独家 芬兰国宝级史诗民谣金属传奇 AMORPHIS 2026巡演北京站,北京,疆进酒·OMNI SPACE（北京）,2026-09-19 20:00,320 / 360 / 580,待定,爬虫采集,https://www.showstart.com/event/302929,2026-08-31
李怡然同学,独家 「怡然の帽泡time」李怡然同学2026巡演 北京站,北京,乐空间,2026-09-19 20:00,99 / 138 / 258 / 298,待定,爬虫采集,https://www.showstart.com/event/307543,2026-08-31
