artist_name,concert_name,city,venue,show_time,price_text,sale_status,source_type,source_url,collected_at
维也纳春之声交响乐团新年,[天津]维也纳春之声交响乐团新年音乐会-天津站,天津,天津大剧院音乐厅,2027.01.02 19:30,,预售中,爬虫采集,https://www.piaoniu.com/activity/782144,2026-08-31
长安大戏院9月2日 京剧,[北京]长安大戏院9月2日 京剧《玉堂春》,北京,长安大戏院,2026.09.02 19:30,,预售中,爬虫采集,https://www.piaoniu.com/activity/782557,2026-08-31
越剧 &mdash;&mdash; 百越文创第五届越剧优秀剧目邀请展,[杭州]越剧《春香传》&mdash;&mdash;「百廿流芳」百越文创第五届越剧优秀剧目邀请展,杭州,19:30 蝴蝶剧场（小百花越剧场）,2026.12.19 周六,,待定,爬虫采集,https://www.piaoniu.com/activity/782724,2026-08-31
维也纳春之声交响乐团新年,[上海]维也纳春之声交响乐团新年音乐会-上海站,上海,,2026.12.31 东方艺术中心-音乐厅,,待定,爬虫采集,https://www.piaoniu.com/activity/779953,2026-08-31
国话戏剧数字院线展映季,[合肥]《苏堤春晓》-2026国话戏剧数字院线展映季,合肥,包河凤凰剧院,2026.09.23 19:30,,预售中,爬虫采集,https://www.piaoniu.com/activity/783575,2026-08-31
国话戏剧数字院线展映季,[苏州]2026国话戏剧数字院线展映季《苏堤春晓》,苏州,14:00 苏州文化艺术中心-大道喜剧院,2026.09.26 周六,,待定,爬虫采集,https://www.piaoniu.com/activity/781483,2026-08-31
维也纳春之声交响乐团新年,[杭州]维也纳春之声交响乐团新年音乐会,杭州,19:30 浙江省人民大会堂,2026.12.30 周三,,待定,爬虫采集,https://www.piaoniu.com/activity/774446,2026-08-31
维也纳春之声交响乐团新年,[广州]维也纳春之声交响乐团新年音乐会,广州,19:30 广州大剧院歌剧厅,2026.12.27 周日,,待定,爬虫采集,https://www.piaoniu.com/activity/784526,2026-08-31
八音小课堂-长鼻木偶人,[上海]八音小课堂-长鼻木偶人,上海,凯迪拉克·上海音乐厅-音乐立方,2026.09.13 09:30,,预售中,爬虫采集,https://www.piaoniu.com/activity/780161,2026-08-31
三十而立·岁月流金 德云社成立三十周年系列演出之郭德纲·于谦相声,[青岛]三十而立·岁月流金2026德云社成立三十周年系列演出之郭德纲·于谦相声专场-青岛站,青岛,青岛市体育中心国信体育馆,2026.09.12 19:30,,预售中,爬虫采集,https://www.piaoniu.com/activity/781944,2026-08-31
三十而立·岁月流金 德云社成立三十周年系列演出之郭德纲·于谦相声,[杭州]三十而立·岁月流金2026德云社成立三十周年系列演出之郭德纲·于谦相声专场-杭州站,杭州,19:00 黄龙体育中心体育馆,2026.10.31 周六,,待定,爬虫采集,https://www.piaoniu.com/activity/782881,2026-08-31
,[杭州]HANS ZIMMER LIVE &ndash; THE NEXT LEVEL IN HANGZHOU 汉斯·季默传奇音乐会 全新境界-杭州站,杭州,,2026.09.26-09.27 杭州奥体AT中心体育馆,,待定,爬虫采集,https://www.piaoniu.com/activity/780461,2026-08-31
梁海源脱口秀,[南宁]梁海源脱口秀专场《天才的三个夜晚》｜笑果出品@南宁,南宁,20:00 南宁剧场,2026.09.26 周六,,待定,爬虫采集,https://www.piaoniu.com/activity/784495,2026-08-31
脱友人气选手步惊云脱口秀,[南宁]脱友人气选手步惊云脱口秀专场《母老虎》｜三好姐妹@南宁,南宁,20:00 南宁剧场-星光剧场,2026.11.08 周日,,待定,爬虫采集,https://www.piaoniu.com/activity/784345,2026-08-31
,[南宁]Jony J2026「本命」巡演-南宁站,南宁,百益上河城艺术中心1号馆,2026.09.15 20:00,,预售中,爬虫采集,https://www.piaoniu.com/activity/780941,2026-08-31
step.jad依加,[南宁] step.jad依加「NIGHTSTEP夜奔·超感世界」Livehouse巡演,南宁,池沼CHIZHAO LIVEHOUSE南宁店,2026.10.18 19:30,,待定,爬虫采集,https://www.piaoniu.com/activity/783748,2026-08-31
WetMen·俄罗斯型男水舞剧,[南宁]WetMen·俄罗斯型男水舞剧 《雨中2：爱的宣言》,南宁,20:00 广西文化艺术中心-大剧院,2026.10.06 周二,,待定,爬虫采集,https://www.piaoniu.com/activity/781372,2026-08-31
舞蹈诗剧 &mdash;&mdash;舞绘,舞蹈诗剧《只此青绿》&mdash;&mdash;舞绘《千里江山图》,,,2026.11.06-11.08 广西文化艺术中心-大剧院,,待定,爬虫采集,https://www.piaoniu.com/activity/780007,2026-08-31
孙燕姿,[广州]孙燕姿《就在日落以后》 巡回演唱会,广州,广东省奥林匹克体育中心体育场,2026.11.27 -,,预售中,爬虫采集,https://www.piaoniu.com/activity/784190,2026-08-31
李乃文&唐旭主演谍战舞台剧,[西安]李乃文&唐旭主演谍战舞台剧《夜行者》,西安,,2026.09.11-09.12 西安浐灞保利大剧院,,待定,爬虫采集,https://www.piaoniu.com/activity/779807,2026-08-31
音乐剧,[北京] 音乐剧《寻找李二狗》,北京,,2026.09.24-09.25 中央歌剧院,,预售中,爬虫采集,https://www.piaoniu.com/activity/783239,2026-08-31
谛听琴心&mdash;&mdash;李孔元古琴独奏,[武汉]谛听琴心&mdash;&mdash;李孔元古琴独奏音乐会,武汉,武汉琴台音乐厅-室内乐厅,2026.09.19 19:30,,待定,爬虫采集,https://www.piaoniu.com/activity/783998,2026-08-31
卓依婷 穿过日月的歌谣,[泉州]卓依婷2026穿过日月的歌谣巡回演唱会生日专场,泉州,泉州海峡体育中心-体育馆,2026.10.02 19:30,,预售中,爬虫采集,https://www.piaoniu.com/activity/784164,2026-08-31
